System,Mass1,Error,Mass2,Error,Radius1,Error,Radius2,Error,SOURCE:https://www.astro.keele.ac.uk/jkt/debcat/
AI Phe,1.1938,0,1.2438,0.0008,1.805,0.002,2.9332,0.0023,
LV Her,1.193,0.01,1.1698,0.0081,1.358,0.01,1.313,0.011,
V208 Cyg,1.191,0.01,1.157,0.017,1.596,0,1.599,0.008,
KIC 9970396,1.178,0.01,1.003,0.0085,8.035,0.07,1.1089,0.0052,
EW Ori,1.173,0.01,1.123,0.009,1.168,0,1.097,0.005,
KIC 7037405,1.17,0.02,1.11,0.011,14,0.09,1.746,0.014,
AL Ari,1.164,0.001,0.9112,0.0007,1.372,0,0.905,0.008,
UW LMi,1.1627,0.001,1.1402,0.0015,1.34,0.01,1.275,0.016,
WASP 0639-32,1.1544,0.004,0.7833,0.0028,1.834,0.02,0.7291,0.0081,
ASAS J061016-3321.3,1.148,0.03,1.152,0.012,12.34,0.1,33.32,0.39,
ASAS J231922-0852.2,1.136,0,1.006,0.002,1.64,0,1.11,0.023,
ZZ UMa,1.1348,0.008,0.9652,0.0051,1.4367,0.007,1.0752,0.0046,
KX Cnc,1.1345,0.003,1.1241,0.0045,1.0527,0.005,1.0593,0.0051,
HP Dra,1.133,0,1.094,0.007,1.371,0.01,1.052,0.01,
EPIC 219568666,1.121,0.01,0.733,0.005,1.178,0,0.64,0.017,
WOCS 12009,1.111,0.01,0.748,0.005,1.071,0,0.713,0.032,
V78 Cep,1.103,0,1.081,0.007,1.424,0.01,1.373,0.019,
AL Dor,1.1018,0,1.1028,0.0007,1.0917,0.002,1.0983,0.002,
QR Hya,1.1002,0.001,1.0673,0.0019,1.2844,0.004,1.2028,0.0055,
TOI-1338,1.098,0.01,0.307,0.003,1.299,0.02,0.3015,0.0058,
V109 Tau,1.0965,0.004,1.0121,0.0028,1.4109,0.005,1.1063,0.0066,
OGLE-BLG-ECL-296596,1.093,0.01,1.125,0.014,18.06,0.2,29.8,0.33,
EPIC 210822691,1.09,0,0.96,0.02,1.25,0,0.94,0.01,
V56 Lyr,1.0868,0.003,0.8276,0.0022,1.397,0.01,0.7813,0.0053,
V96 Cen,1.0812,0.002,1.0753,0.003,1.4456,0.005,1.4215,0.0068,
V43 Aur,1.08,0.01,1.2,0.018,1.23,0,2.46,0.02,
EPIC 219394517,1.0782,0.001,1.0661,0.0024,1.055,0.01,1.042,0.012,
OGLE-BLG-ECL-305487,1.06,0.02,0.991,0.018,19.27,0.2,29.99,0.24,
V63 Cen,1.052,0,0.854,0.003,1.018,0,0.83,0.004,
Kepler-34,1.0479,0.003,1.0208,0.0022,1.1618,0.002,1.0927,0.003,
KIC 7177553,1.043,0.01,0.986,0.015,0.94,0,0.941,0.005,
KIC 6525196,1.0351,0.005,0.9712,0.0039,1.0719,0.002,1.0101,0.0017,
CV Boo,1.032,0.01,0.968,0.012,1.262,0.02,1.173,0.023,
EBLM J0113+31,1.029,0.02,0.197,0.003,1.417,0.01,0.215,0.002,
V81 Tau,1.0245,0.002,0.7426,0.0016,0.923,0.01,0.739,0.026,
V117 Ori,1.009,0.01,0.731,0.008,1.339,0.01,1.065,0.011,
V53 Ori,1.0038,0.006,0.5955,0.0022,0.98,0.01,0.5873,0.0067,
V56 Lyr,0.9955,0.003,0.9293,0.0032,1.1011,0.006,0.9708,0.0053,
KIC 8736245,0.987,0,0.782,0.009,1.311,0,0.804,0.004,
KIC 10987439,0.9864,0.003,1.4215,0.0045,0.932,0.01,1.512,0.031,
IM Vir,0.981,0.01,0.6644,0.0048,1.061,0.01,0.681,0.013,
OGLE-SMC-ECL-1492,0.97,0,0.97,0.01,15.9,0,25.1,0.3,
OGLE-BLG-ECL-116218,0.969,0.01,0.983,0.012,16.73,0.2,22.06,0.26,
Kepler-47,0.957,0.01,0.342,0.003,0.936,0,0.338,0.002,
ASAS J065134-2211.5,0.956,0.01,0.674,0.005,0.997,0,0.69,0.007,
Tyc 5227-1023-1,0.956,0.01,0.839,0.012,1.388,0.01,0.977,0.01,
KIC 4054905,0.9544,0.009,0.9566,0.0059,8.364,0.02,3.0911,0.0094,
HP Aur,0.9543,0.004,0.8094,0.0036,1.0278,0.004,0.7758,0.0034,
Kepler-453,0.944,0.01,0.1951,0.002,0.833,0.01,0.215,0.0014,
KIC 6131659,0.942,0.01,0.703,0.008,0.903,0,0.616,0.003,
CG Cyg,0.94,0.01,0.81,0.013,0.89,0.01,0.84,0.014,
ASAS J045021+2300.4,0.934,0.01,0.409,0.005,1.058,0.02,0.408,0.009,
RW Lac,0.928,0,0.87,0.004,1.186,0,0.964,0.004,
EPIC 219511354,0.912,0.01,0.822,0.016,0.92,0.01,0.851,0.016,
HS Aur,0.9,0.01,0.879,0.017,1.004,0.02,0.873,0.024,
Kepler-35,0.8877,0.005,0.8094,0.0044,1.0284,0.002,0.7861,0.0021,
4 Tuc V69,0.8762,0.004,0.8588,0.006,1.3148,0.005,1.1616,0.0062,
4 Tuc E32,0.8617,0.004,0.8268,0.0045,1.1834,0.003,1.0045,0.004,
ASAS J045304-0700.4,0.8338,0.003,0.828,0.004,0.848,0,0.833,0.005,
NGC 636 V40,0.8337,0.006,0.7947,0.0048,1.3253,0.007,0.997,0.013,
ASAS J212954-5620.1,0.833,0.01,0.703,0.013,0.845,0.01,0.718,0.017,
NGC 636 V41,0.8215,0.005,0.728,0.0047,1.0739,0.004,0.7307,0.0046,
NGC 320 V139,0.806,0,0.684,0.003,1.215,0.01,0.687,0.004,
NGC 320 V142,0.804,0,0.664,0.002,2.212,0.02,0.693,0.004,
M V65,0.8035,0.008,0.605,0.0044,1.147,0.01,0.611,0.0092,
V123 Tau,0.787,0.01,0.77,0.009,0.788,0.01,0.817,0.01,
M V66,0.7842,0.004,0.7443,0.0042,0.9347,0.004,0.8298,0.0053,
M V69,0.7665,0.005,0.7278,0.0048,0.8655,0.009,0.8074,0.008,
